When you have a dream, you’ve got to grab it and never let go | 
Carol Burnett
Nothing is impossible. The word itself says ‘I’m possible! | Audrey Hepburn
You define your own life. Don’t let other people write your script. | Oprah Winfrey
Spread love everywhere you go. | Mother Teresa
You can be everything. You can be the infinite amount of things that people are. | Kesha
I’m not going to continue knocking that old door that doesn’t open for me. I’m going to create my own door and walk through that. | Ava DuVernay
Believe you can and you’re halfway there. | Rosevelet
In a gentle way, you can shake the world. | Gandhi
All you need is the plan, the road map, and the courage to press on to your destination. | Earl Nightingale
Nobody built like you, you design yourself. |Jay-Z